Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating
Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Cadila Healthcare Ltd.,CADILAHC,CA
Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Abbott India Ltd.,ABBOTINDIA,ABB
Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) ,Alkem Laboratories Ltd.,ALKEM,AL
Aczit 10mg Softgel 10'S,Acne, treat acne vulgaris ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Adabor Gel 15gm,Acne, treat acne vulgaris ,Ipca Laboratories Ltd.,IPCALAB,I
Adacin Gel 15gm,Acne, treat mild to moderate acne(spots),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Adalene Nano Gel 15mg,Acne," gives smooth, soft, supple and fresh feeling to the skin",Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Divis Laboratories Ltd.,DIVISLAB,D
Adapnil Gel 15gm,Acne,Mild to moderate acne (spots),Cipla Ltd.,CIPLA,C
Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Biocon Ltd.,BIOCON,4.1
Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne) ,Lupin Ltd.,LUPIN,L
Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Cadila Healthcare Ltd.,CADILAHC,CA
Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Abbott India Ltd.,ABBOTINDIA,ABB
Ahaglow Acne Control Moisturizing Gel 50gm,Acne, treat acne vulgaris ,Alkem Laboratories Ltd.,ALKEM,AL
Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne, treat acne vulgaris ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne, treat mild to moderate acne(spots),Ipca Laboratories Ltd.,IPCALAB,I
Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Alene Gel 15gm,Acne,Mild to moderate acne (spots),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Dr. Reddys Laboratories Ltd.,DRREDDY,4.7
Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D
Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C
Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne) ,Biocon Ltd.,BIOCON,B
Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Alonurish Anti Acne Foaming Face Wash 60ml,Acne, treat acne vulgaris ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Amypure Tablet 90'SAmypure Tablet 100'S,Acne, treat acne vulgaris ,Dr. Reddys Laboratories Ltd.,DRREDDY,R
AP Gel 10gm,Acne, treat mild to moderate acne(spots),Divis Laboratories Ltd.,DIVISLAB,D
Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Cipla Ltd.,CIPLA,C
Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Biocon Ltd.,BIOCON,B
Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Lupin Ltd.,LUPIN,3.4
Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA
Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Abbott India Ltd.,ABBOTINDIA,ABB
Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne) ,Alkem Laboratories Ltd.,ALKEM,AL
Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Ipca Laboratories Ltd.,IPCALAB,I
Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne, treat acne vulgaris ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne, treat acne vulgaris ,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Bengel AC 2.5% Gel 30gm,Acne, treat mild to moderate acne(spots),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Benzac AC 5% Gel 20gm,Acne," gives smooth, soft, supple and fresh feeling to the skin",Divis Laboratories Ltd.,DIVISLAB,D
Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Cipla Ltd.,CIPLA,C
Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Biocon Ltd.,BIOCON,B
Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots),Aurobindo Pharma Ltd.,AUROPHARMA,AU
Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Torrent Pharmaceuticals Ltd.,TORNTPHARM,3.5
Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L
Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA
Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne) ,Abbott India Ltd.,ABBOTINDIA,ABB
Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne) ,Alkem Laboratories Ltd.,ALKEM,AL
Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne) ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Calosoft Plus Cream 30gm,Acne, treat acne vulgaris ,Ipca Laboratories Ltd.,IPCALAB,I
Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne, treat acne vulgaris ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Canvaz Gel(Topical) 15gm,Acne, treat mild to moderate acne(spots),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Divis Laboratories Ltd.,DIVISLAB,D
Clearliv Capsule 60'S,Acne," gives smooth, soft, supple and fresh feeling to the skin",Cipla Ltd.,CIPLA,C
CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Biocon Ltd.,BIOCON,B
CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots),Aurobindo Pharma Ltd.,AUROPHARMA,AU
Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Torrent Pharmaceuticals Ltd.,TORNTPHARM,3.5
Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L
Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA
Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne) ,Abbott India Ltd.,ABBOTINDIA,ABB
Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Alkem Laboratories Ltd.,ALKEM,AL
Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Cligel A Gel 15gm,Acne, treat acne vulgaris ,Ipca Laboratories Ltd.,IPCALAB,I
Cligel T Gel 15gm,Acne, treat acne vulgaris ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Climple 1% Gel 15gm,Acne, treat mild to moderate acne(spots),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots),Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Dr. Reddys Laboratories Ltd.,DRREDDY,4.7
Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D
Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C
Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne) ,Biocon Ltd.,BIOCON,B
Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) ,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Clincin Gel 20gmCLINCIN Gel 10gm,Acne, treat acne vulgaris ,Lupin Ltd.,LUPIN,L
Clincin N GE Gel 20gm,Acne, treat acne vulgaris ,Cadila Healthcare Ltd.,CADILAHC,CA
Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne, treat mild to moderate acne(spots),Abbott India Ltd.,ABBOTINDIA,ABB
Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp,Alkem Laboratories Ltd.,ALKEM,AL
Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin",Ipca Laboratories Ltd.,IPCALAB,I
Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Clindapene Gel 15gm,Acne,Mild to moderate acne (spots),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,4.8
Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Divis Laboratories Ltd.,DIVISLAB,D
Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Cipla Ltd.,CIPLA,C
Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne) ,Biocon Ltd.,BIOCON,B
Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne) ,Aurobindo Pharma Ltd.,AUROPHARMA,AU
CLINKRICK Gel 10gm,Acne, treat acne vulgaris ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Clinlup 1% Gel 10gm,Acne, treat acne vulgaris ,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Clinmax A Gel 30gmClinmax Gel 20gm,Acne, treat mild to moderate acne(spots),Dr. Reddys Laboratories Ltd.,DRREDDY,R
Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Divis Laboratories Ltd.,DIVISLAB,D
Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin,Cipla Ltd.,CIPLA,C
Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Biocon Ltd.,BIOCON,B
Clinxa Gel 20gm,Acne,Mild to moderate acne (spots),Aurobindo Pharma Ltd.,AUROPHARMA,AU
Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Torrent Pharmaceuticals Ltd.,TORNTPHARM,3.5
Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Lupin Ltd.,LUPIN,L
Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cadila Healthcare Ltd.,CADILAHC,CA
Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne) ,Abbott India Ltd.,ABBOTINDIA,ABB
Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne) ,Alkem Laboratories Ltd.,ALKEM,AL
Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
D Acne Soap 75gmD Acne Gel 10gm,Acne, treat acne vulgaris ,Ipca Laboratories Ltd.,IPCALAB,I
D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne, treat acne vulgaris ,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
D Acne Plus Gel 15gm,Acne, treat mild to moderate acne(spots),Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Depiglare Cream 15gm,Acne,Mild to moderate acne (spots),Divis Laboratories Ltd.,DIVISLAB,D
Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Cipla Ltd.,CIPLA,4.3
Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Biocon Ltd.,BIOCON,B
Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne) ,Lupin Ltd.,LUPIN,L
DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne) ,Cadila Healthcare Ltd.,CADILAHC,CA
Dersol BH Ointment 30gm,Acne, treat acne vulgaris ,Abbott India Ltd.,ABBOTINDIA,ABB
Doxt SL 100mg/5B Tablet 8'S,Acne, treat acne vulgaris ,Alkem Laboratories Ltd.,ALKEM,AL
DS ACNE Face Wash 100gm,Acne, treat mild to moderate acne(spots),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,Ipca Laboratories Ltd.,IPCALAB,I
Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Emolene Cream 100gm,Acne," gives smooth, soft, supple and fresh feeling to the skin",Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Enshine Ointment 15gm,Acne,Mild to moderate acne (spots),Dr. Reddys Laboratories Ltd.,DRREDDY,R
Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Divis Laboratories Ltd.,DIVISLAB,4.5
Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Cipla Ltd.,CIPLA,C
Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Biocon Ltd.,BIOCON,B
Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne) ,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) ,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) ,Lupin Ltd.,LUPIN,L
Eudyna 0.05% Cream 20gm,Acne, treat acne vulgaris ,Cadila Healthcare Ltd.,CADILAHC,CA
Eunozit 10mg Capsule 10'S,Acne, treat acne vulgaris ,Abbott India Ltd.,ABBOTINDIA,ABB
Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne, treat mild to moderate acne(spots),Alkem Laboratories Ltd.,ALKEM,AL
Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
